,rmse,chroma_stft,spec_cent,spec_bw,rolloff,zcr,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,raga
37,0.1746492,0.30025315,1659.783114977677,1780.6954428050913,3024.262138722474,0.08212401500431779,-103.72789,118.36236,-43.12908,13.766644,-7.0027313,-4.6194324,-8.567879,-14.475494,-11.708069,0.8078744,-9.211648,-1.7374796,-8.769909,surati
38,0.18618028,0.3068662,1616.1717258114625,1806.805046141557,3130.4777313390546,0.07261054215241797,-100.74556,121.01572,-34.772667,30.284042,0.844607,-0.93158275,-9.986652,-13.802025,-14.405831,-0.18250358,-9.189752,-0.67746407,-5.2672577,surati
39,0.14704579,0.33310422,1367.4449462328646,1698.2146093353751,2739.6259209034974,0.05628052811960276,-141.56969,134.83266,-26.68846,36.96986,3.7919445,4.7202096,-6.744175,-13.883671,-13.9844,-2.3685205,-9.122512,-1.6774883,-2.1091094,surati
40,0.08079142,0.22859561,1738.3640719914172,1979.1786812311168,3317.921603648655,0.06041686822755418,-251.1252,93.16666,-16.635107,31.003906,0.5595787,-12.910456,-5.9513288,-3.65892,-16.937037,11.558317,-8.881786,-3.506913,-9.238289,surati
41,0.107122436,0.26878944,1744.9520916452727,1972.229263931851,3365.5629822344235,0.06772861539763932,-194.58203,102.84898,-17.16983,33.320427,-0.7119522,-7.8690395,-2.265823,2.4744577,-17.05263,16.269476,-9.717333,-3.746184,-6.5510426,surati
42,0.112958275,0.2663033,1567.9756821787623,1930.6336379028949,3111.8645163143383,0.05635037732198142,-214.6217,106.74422,-9.68396,30.31545,0.30598444,-4.4159937,-1.3811042,-2.2297049,-15.745401,9.946774,-9.013165,-3.5793042,-7.62352,surati
43,0.14785334,0.26206568,1810.8812027976549,2022.4292919694644,3458.6707525578076,0.0761235003869969,-152.60764,100.76255,-17.972351,26.628109,-3.8049142,-6.0366898,-6.9312983,4.9938145,-14.859088,15.922562,-12.766527,-2.3051627,-9.996765,surati
44,0.14330529,0.25940984,1905.4047511685387,2122.8725913385288,3709.6359016725523,0.07652523643092106,-157.87111,97.06992,-15.431821,25.253918,-3.8304224,-9.059459,-6.7885017,1.9011769,-20.059277,14.273564,-17.933397,-1.8045641,-10.774192,surati
45,0.1253124,0.26329795,1619.4897501417522,2020.0990752402063,3223.0471773413315,0.051133099724264705,-197.03113,103.00804,-8.779623,41.289146,9.124957,-11.3917465,-5.555207,1.6266398,-17.241724,8.91672,-15.001046,-0.36872527,-7.869378,surati
46,0.15074454,0.23962037,1800.9817719019054,2065.131493160763,3518.645389899381,0.06649846410603716,-156.91486,98.447205,-18.928282,26.641962,-1.515621,-9.07226,-7.2524037,3.4286542,-19.82131,12.033329,-15.388816,-4.62604,-11.437337,surati
47,0.095756315,0.2680327,1497.0764231565292,1879.2448296326525,2862.9076883888833,0.05191011694562694,-234.14719,110.50496,-6.702828,31.81651,5.9885244,-2.6794958,-2.054319,0.69626606,-12.800239,8.652119,-7.0857673,-3.4591303,-6.8176556,surati
48,0.15175468,0.25214335,1865.8061935252008,2100.511018119852,3641.427980783185,0.07184688225619196,-157.67603,95.46958,-13.132417,35.988083,3.295086,-10.425488,-6.018758,5.2134047,-19.408031,9.227371,-14.561868,2.4013,-8.855883,surati
